geoid,name,population,value,percentile,numerator,denominator,se
94601,94601,53039,-0.0389578742415678,0.0434120335110434,,,
94501,94501,63821,0.0129179276297076,0.583396801218583,,,
94560,94560,47171,0.0201105325409157,0.743335872048743,,,
94587,94587,74722,0.0178510079272133,0.698400609291698,,,
94580,94580,30488,0.0171873270190336,0.688499619192689,,,
94703,94703,21697,-0.00290623827070076,0.288651942117289,,,
95669,95669,2315,0.0128797348551525,0.581873571972582,,,
95901,95901,33455,0.0135214781063333,0.601675552170602,,,
94549,94549,29795,0.0354808769183616,0.948210205635948,,,
94595,94595,18117,0.028397242358269,0.878141660319878,,,
94506,94506,25240,0.0366830731726746,0.955826351865956,,,
94806,94806,64286,-0.00846986507936165,0.23000761614623,,,
94801,94801,31210,-0.0185054267025061,0.142421934501142,,,
94803,94803,25893,0.0297694613458045,0.895658796648896,,,
94553,94553,49784,0.0253627494375067,0.840822543792841,,,
94530,94530,26145,0.0151078919007554,0.638994668697639,,,
94572,94572,10384,0.0155581621708579,0.651942117288652,,,
95567,95567,1802,0.00965196489805803,0.504188880426504,,,
93612,93612,35140,-0.000913456212112609,0.319116527037319,,,
93630,93630,20764,0.00180584275288081,0.368621477532369,,,
93646,93646,11738,-0.0130497908676985,0.178979436405179,,,
93703,93703,32754,-0.0252984425649504,0.106626047220107,,,
93234,93234,7355,-0.0398617089155834,0.0411271896420411,,,
93616,93616,2582,-0.00520774980075324,0.256664127951257,,,
95503,95503,25972,0.0111646475504553,0.539223153084539,,,
95560,95560,1615,-0.0363857670783893,0.0533130236100533,,,
95524,95524,1668,0.00746574002028701,0.466869763899467,,,
92243,92243,50402,0.0061431821933974,0.438690022848439,,,
93527,93527,1559,0.0197503083231722,0.738766184310739,,,
93305,93305,37902,-0.035966072413785,0.0540746382330541,,,
93308,93308,53981,-0.000500974326233261,0.32977913175933,,,
93311,93311,45481,0.0347801981808066,0.944402132520944,,,
93245,93245,38480,0.0134343845198044,0.596344249809596,,,
93202,93202,4273,0.0101330213794398,0.517897943640518,,,
95485,95485,2650,0.0134577576463583,0.597867479055598,,,
96130,96130,20119,0.0153033179734031,0.646610814927647,,,
91504,91504,26749,-0.000819959586277135,0.321401370906321,,,
91606,91606,44295,-0.0332042255289574,0.067022086824067,,,
90640,90640,62730,-0.0172249421042567,0.147753236862148,,,
91770,91770,62703,-0.0244255944393867,0.112718964204113,,,
93535,93535,74264,0.00869985208010552,0.488194973343488,,,
90290,90290,5681,0.0146486592570896,0.627570449352628,,,
91792,91792,29619,-0.00393006857702269,0.273419649657273,,,
91789,91789,44440,0.0248156384114805,0.828636709824829,,,
91791,91791,33397,-0.000900030231466823,0.31987814166032,,,
91723,91723,18521,-0.00876135731409972,0.226961157654227,,,
91773,91773,34007,0.00682817870165585,0.450875856816451,,,
91702,91702,62066,-0.0107162679068088,0.207159177456207,,,
91741,91741,26794,0.0231893637367421,0.796648895658797,,,
91765,91765,46593,0.0168503315526191,0.680883472962681,,,
90303,90303,24374,-0.037266077071865,0.051028179741051,,,
90033,90033,49155,-0.0622455095176198,0.0137090632140137,,,
90032,90032,48031,-0.0202144262914362,0.127189642041127,,,
90249,90249,26429,-0.0041711893417409,0.27037319116527,,,
