geoid,name,population,value,percentile,numerator,denominator,se
94952,94952,35503,0.92897214,0.643074581,19540,21034,0.007551534
94954,94954,38763,0.941078401,0.729071537,21450,22793,0.006322856
95003,95003,25185,0.972813239,0.936834094,13991,14382,0.000375687
95005,95005,7661,0.959289563,0.859208524,4807,5011,0.017538093
95006,95006,9632,0.926672039,0.617960426,5750,6205,0.070490068
95014,95014,61866,0.974719719,0.949010654,35472,36392,0.003637689
95018,95018,6841,0.952301851,0.808980213,4013,4214,0.017122563
95020,95020,64833,0.909471481,0.482496195,34760,38220,0.007033835
95032,95032,26047,0.977398462,0.96042618,14487,14822,0.029986791
95045,95045,4217,0.904156064,0.45585997,2132,2358,0.028119318
95046,95046,5918,0.880731441,0.315829528,3227,3664,0.016500233
95050,95050,38699,0.958937754,0.856164384,24988,26058,0.009251181
95060,95060,47801,0.938995068,0.710806697,30461,32440,0.006304807
95070,95070,31196,0.98943418,0.993150685,17137,17320,0.004884973
95112,95112,62228,0.899848152,0.430745814,39704,44123,0.003393602
95120,95120,38122,0.988741339,0.99086758,20550,20784,0.026589957
95125,95125,53155,0.957914084,0.852359209,30750,32101,0.006800816
95132,95132,41790,0.964935113,0.892694064,25950,26893,0.028143389
95134,95134,29349,0.964075849,0.886605784,23133,23995,0.007420702
95135,95135,22015,0.962014288,0.874429224,11042,11478,0.007968846
95139,95139,7363,0.962050599,0.875190259,4335,4506,0.066233131
95203,95203,15487,0.839574951,0.151445967,8138,9693,0.017372222
95205,95205,38350,0.815559519,0.096651446,18293,22430,0.014714206
95379,95379,4003,0.842105263,0.156012177,1952,2318,0.029120236
95206,95206,64250,0.877051845,0.299086758,32379,36918,0.006087583
95215,95215,24326,0.82948071,0.122526636,10191,12286,0.023908388
95219,95219,29270,0.949862719,0.796042618,15914,16754,0.012328505
95220,95220,7576,0.901369227,0.440639269,3884,4309,0.040255899
95222,95222,5029,0.92053472,0.568493151,2479,2693,0.02795974
95228,95228,4541,0.911589008,0.49847793,2289,2511,0.025585005
95231,95231,5165,0.836554622,0.143835616,1991,2380,0.078452191
95240,95240,48799,0.89188602,0.370624049,24633,27619,0.012156063
95242,95242,26409,0.907950361,0.47564688,13316,14666,0.005906126
95245,95245,1717,0.764108352,0.02891933,677,886,0.251106039
95247,95247,4024,0.92603378,0.608828006,1590,1717,0.04006103
95249,95249,5444,0.975110397,0.952054795,2429,2491,0.179406293
95252,95252,16262,0.914431806,0.51674277,8763,9583,0.020335564
95301,95301,39186,0.889585832,0.353881279,19288,21682,0.012632422
95304,95304,14282,0.926338028,0.614916286,6577,7100,0.021930724
95307,95307,46283,0.913259125,0.51065449,24121,26412,0.010268636
95310,95310,1874,0.9475,0.780821918,758,800,0.04411025
95315,95315,14520,0.864589366,0.238964992,7464,8633,0.012293539
95316,95316,7022,0.944580677,0.754946728,3852,4078,0.095225755
95322,95322,10373,0.835727565,0.140791476,4945,5917,0.026892701
95485,95485,2650,0.86474359,0.241248097,1349,1560,0.171253241
95326,95326,10147,0.946503497,0.771689498,5414,5720,0.026922195
95327,95327,7918,0.925395075,0.600456621,2518,2721,0.004878874
95383,95383,3611,0.90896921,0.48021309,2037,2241,0.028009282
95386,95386,10557,0.923191525,0.588280061,5577,6041,0.015888519
95391,95391,20131,0.978613969,0.967275495,10845,11082,0.001708365
95401,95401,38839,0.879788851,0.310502283,22000,25006,0.007580819
95329,95329,2570,0.933713471,0.675799087,1310,1403,0.033646096
95330,95330,22760,0.902591914,0.448249619,12815,14198,0.013903594
95333,95333,2539,0.879287599,0.308219178,1333,1516,0.030653416
95337,95337,39177,0.941468502,0.732115677,22567,23970,0.004518019
95340,95340,35827,0.928166626,0.634703196,19162,20645,0.007758416
95403,95403,45096,0.899585843,0.429984779,23893,26560,0.012002507
95348,95348,34002,0.913871518,0.512937595,19290,21108,0.012384016
95351,95351,48542,0.872108155,0.269406393,24126,27664,0.011145296
95354,95354,24923,0.895409371,0.391171994,13244,14791,0.00595329
95355,95355,59621,0.928926653,0.642313546,32688,35189,0.004741732
95358,95358,32524,0.872975184,0.271689498,16006,18335,0.033863575
95546,95546,3466,0.845515811,0.166666667,1631,1929,0.051802021
95360,95360,13278,0.920686836,0.570776256,6756,7338,0.051972465
95361,95361,35308,0.926529418,0.616438356,18992,20498,0.010110759
95363,95363,27908,0.899565689,0.428462709,14913,16578,0.019461942
95368,95368,14041,0.957769107,0.851598174,8346,8714,0.028788474
95370,95370,28096,0.939519035,0.713089802,14338,15261,0.011575705
95374,95374,1682,0.86372549,0.234398782,881,1020,0.026770973
95404,95404,40497,0.923364189,0.589041096,23242,25171,0.011060504
95405,95405,21082,0.940954975,0.728310502,11745,12482,0.05277438
95407,95407,42026,0.83091678,0.126331811,22006,26484,0.012302589
95409,95409,27186,0.956718444,0.843987823,12688,13262,0.008027592
95422,95422,15696,0.863631111,0.233637747,7473,8653,0.01455105
95423,95423,3751,0.91,0.490106545,2002,2200,0.027101988
95436,95436,6240,0.923809524,0.590563166,3492,3780,0.012027773
95437,95437,14859,0.857324841,0.210045662,6730,7850,0.016276938
95441,95441,1797,0.88,0.313546423,990,1125,0.125699452
95445,95445,2257,0.98388721,0.98325723,977,993,0.014722066
95448,95448,17407,0.897435897,0.407914764,9170,10218,0.048851753
95451,95451,11603,0.874605797,0.282343988,5824,6659,0.026190599
95453,95453,11369,0.87696783,0.296042618,5125,5844,0.027496223
95457,95457,3227,0.898706897,0.420091324,1251,1392,0.055786007
95458,95458,2960,0.882573727,0.322678843,1646,1865,0.035871087
95461,95461,2567,0.87302726,0.272450533,1217,1394,0.075581221
95465,95465,2244,0.91954023,0.558599696,1120,1218,0.039797446
95467,95467,5506,0.953020134,0.815829528,2982,3129,0.023554473
95470,95470,5561,0.904830778,0.45890411,3128,3457,0.05048749
95472,95472,30736,0.909556897,0.48325723,15970,17558,0.015163899
95476,95476,36586,0.916117677,0.52587519,18217,19885,0.006100949
95492,95492,29271,0.945479721,0.763318113,16388,17333,0.010575219
95503,95503,25972,0.911496658,0.49695586,13502,14813,0.010617159
95519,95519,19763,0.927012165,0.622526636,11126,12002,0.007069095
95521,95521,21068,0.899030695,0.422374429,13356,14856,0.01455914
95524,95524,1668,0.924116424,0.593607306,889,962,0.040172815
95536,95536,2899,0.888888889,0.351598174,1320,1485,0.030756254
95540,95540,14196,0.851093067,0.180365297,6813,8005,0.006148281
95570,95570,2338,0.92081448,0.572298326,1221,1326,0.032062159
95573,95573,1568,0.858597285,0.215372907,759,884,0.080253993
95603,95603,29474,0.944751725,0.756468798,15202,16091,0.00886867
95605,95605,14493,0.91106562,0.49543379,8011,8793,0.014678875
95614,95614,4359,0.986703168,0.987062405,2523,2557,0.182342833
95616,95616,52212,0.960882487,0.869101979,35888,37349,0.00252264
95618,95618,27519,0.957143649,0.847031963,17264,18037,0.012528587
95620,95620,21954,0.891472269,0.368340944,11541,12946,0.00902707
95621,95621,41740,0.931581028,0.663622527,23569,25300,0.007708849
95623,95623,3665,0.966287215,0.902587519,2207,2284,0.020378634
95624,95624,65948,0.960755959,0.866818874,38534,40108,0.002900792
95626,95626,6065,0.893515931,0.379756469,3197,3578,0.08749158
95627,95627,3802,0.87136294,0.265601218,1707,1959,0.057102796
95630,95630,78159,0.971465688,0.926179604,42625,43877,0.005594414
95632,95632,31911,0.924574719,0.597412481,17664,19105,0.010556951
95633,95633,4188,0.894308943,0.382800609,2090,2337,0.039971831
95634,95634,3559,0.916477273,0.526636225,1613,1760,0.189288565
95947,95947,1657,0.927607362,0.626331811,756,815,0.045472953
95638,95638,2126,0.943396226,0.746575342,1150,1219,0.017463721
95640,95640,11598,0.945458274,0.761796043,4611,4877,0.006915834
95642,95642,7101,0.914020792,0.514459665,3253,3559,0.077217737
