geoid,name,population,value,percentile,numerator,denominator,se
94601,94601,53039,-0.220405989874806,0.220868240670221,,,
94501,94501,63821,0.187052599903674,0.759329779131759,,,
94560,94560,47171,0.219242251781127,0.8004569687738,,,
94587,94587,74722,0.18236229506778,0.75019040365575,,,
94580,94580,30488,0.0938776868380096,0.638994668697639,,,
94703,94703,21697,0.166598002830059,0.72962680883473,,,
95669,95669,2315,-0.13079048358037,0.317593297791318,,,
95901,95901,33455,-0.227068226566836,0.21020563594821,,,
94549,94549,29795,0.414790632829498,0.952018278750952,,,
94595,94595,18117,0.238787716652123,0.81949733434882,,,
94506,94506,25240,0.423198293858175,0.955826351865956,,,
94806,94806,64286,-0.0723847098763877,0.404417364813404,,,
94801,94801,31210,-0.157384412067455,0.287128712871287,,,
94803,94803,25893,0.125137251214404,0.679360243716679,,,
94553,94553,49784,0.266828694940704,0.851485148514851,,,
94530,94530,26145,0.213504127242334,0.793602437166794,,,
94572,94572,10384,-0.0772409065826265,0.396801218583397,,,
95567,95567,1802,-0.309457981535753,0.135567402894136,,,
93612,93612,35140,-0.193932111706279,0.252094440213252,,,
93630,93630,20764,-0.274433130603294,0.15993907083016,,,
93646,93646,11738,-0.531343979379793,0.0266565118050267,,,
93703,93703,32754,-0.481477518726433,0.0411271896420411,,,
93234,93234,7355,-0.647537063408074,0.00380807311500381,,,
93616,93616,2582,-0.357411456848431,0.0997715156130998,,,
95503,95503,25972,-0.122929068070635,0.331302361005331,,,
95560,95560,1615,-0.0107658964466689,0.491241431835491,,,
95524,95524,1668,-0.0175526055305804,0.47981721249048,,,
92243,92243,50402,-0.340655810098128,0.116527037319117,,,
93527,93527,1559,-0.155592013705001,0.290936785986291,,,
93305,93305,37902,-0.590878070459632,0.0106626047220107,,,
93308,93308,53981,-0.312551022657871,0.133282559025133,,,
93311,93311,45481,0.0923377449149539,0.633663366336634,,,
93245,93245,38480,-0.262468294452678,0.168316831683168,,,
93202,93202,4273,-0.344648123681368,0.11043412033511,,,
95485,95485,2650,-0.223198387945394,0.217821782178218,,,
96130,96130,20119,-0.13932294661518,0.309215536938309,,,
91504,91504,26749,0.0972696986093982,0.645087585681645,,,
91606,91606,44295,-0.128176542974474,0.320639756283321,,,
90640,90640,62730,-0.116589202660478,0.343488194973343,,,
91770,91770,62703,-0.14601005033926,0.302361005331302,,,
93535,93535,74264,-0.477510984076956,0.0418888042650419,,,
90290,90290,5681,0.305563208876712,0.884234577303884,,,
91792,91792,29619,0.0148815111640731,0.53008377760853,,,
91789,91789,44440,0.0742295644600997,0.617669459253618,,,
91791,91791,33397,0.0685093158544407,0.607768469154608,,,
91723,91723,18521,0.0426989672211372,0.574257425742574,,,
91773,91773,34007,0.12354300553594,0.677837014470678,,,
91702,91702,62066,-0.0870446332460984,0.385376999238385,,,
91741,91741,26794,0.167635804752495,0.731911652703732,,,
91765,91765,46593,0.0960539815600423,0.643564356435644,,,
90303,90303,24374,-0.162271253497039,0.281797410510282,,,
90033,90033,49155,-0.368267080964756,0.0952018278750952,,,
90032,90032,48031,-0.14905898199238,0.297791317593298,,,
90249,90249,26429,-0.024873813204375,0.469154607768469,,,
91355,91355,30526,0.130849830357537,0.686214775323686,,,
91350,91350,36173,0.197855530571455,0.774562071591775,,,
91387,91387,42034,0.114696573864764,0.661843107387662,,,
91001,91001,37818,0.180624999184185,0.746382330540746,,,
91604,91604,32910,0.424863023955049,0.956587966488957,,,
91402,91402,72059,-0.197438228229041,0.246763137852247,,,
91030,91030,25637,0.340165505585526,0.913937547600914,,,
91108,91108,13375,0.272937504416241,0.855293221629855,,,
90062,90062,35916,-0.181550336220579,0.265803503427266,,,
90293,90293,12728,0.431313987609053,0.958872810357959,,,
90292,90292,23549,0.377653004373924,0.933739527798934,,,
90003,90003,73730,-0.413559553296934,0.0715917745620716,,,
90056,90056,7649,0.280664126022875,0.861386138613861,,,
90732,90732,22780,0.184856946390799,0.754760091393755,,,
90716,90716,14285,-0.224505774477676,0.213252094440213,,,
90805,90805,95995,-0.214939474063516,0.226961157654227,,,
90402,90402,11882,0.594269721410028,0.994668697638995,,,
90010,90010,3822,0.00226026905451415,0.506473724295507,,,
91040,91040,20049,0.0935693808731469,0.638233054074638,,,
90403,90403,23902,0.457022193500809,0.968773800456969,,,
93550,93550,77506,-0.365761242242966,0.095963442498096,,,
92397,92397,4562,0.00692670474155018,0.515613099771516,,,
91732,91732,62905,-0.205061620362424,0.240670220868241,,,
91731,91731,30222,-0.289285215002179,0.148514851485149,,,
94949,94949,18695,0.246328092750531,0.823305407463823,,,
94939,94939,6747,0.453877433512653,0.966488956587967,,,
95428,95428,2580,-0.502652656714256,0.0342726580350343,,,
95425,95425,10984,0.0483547425187743,0.583396801218583,,,
95449,95449,1560,-0.186406299217558,0.26047220106626,,,
95301,95301,39186,-0.188171766083381,0.255140898705255,,,
96134,96134,2059,-0.369745954562851,0.0944402132520944,,,
93907,93907,23299,0.000227910452709537,0.502665651180503,,,
93953,93953,4028,0.135189100927165,0.691546077684692,,,
94599,94599,3108,0.0807198953568048,0.625285605483625,,,
96161,96161,18488,0.257494331997446,0.837776085300838,,,
