"ZIP","Outcome","IRR","IRR_low","IRR_high","p.value","std.error","statistic"
"91752","ED Visits",0.353481170370192,0.133289835360446,0.937422853501094,0.0366334795909415,0.497613351528099,-2.08982548026547
"92201","ED Visits",8.8405137897483,5.65073887137426,13.8308787303284,1.37611937771058e-21,0.22835046419238,9.54386059025827
"92203","ED Visits",0.715749335592958,0.32781901520416,1.56274373249127,0.40124446373858,0.398409536444796,-0.839400748926583
"92210","ED Visits",4.16760486400352e-11,0,Inf,0.999726212873671,69653.8007081486,-0.000343141282776889
"92211","ED Visits",0.872782778864968,0.399741609005664,1.90560542591017,0.732705065274971,0.398409536444797,-0.341529414126113
"92220","ED Visits",13.4212849792304,8.52793731019181,21.1224454333688,3.13250942590461e-29,0.231378925968553,11.2233292947908
"92223","ED Visits",2.15600153783505,1.29702474682871,3.58385037950319,0.00304640104941941,0.259281489420865,2.96301663510206
"92230","ED Visits",3.78344078724127,1.12853216836925,12.6841082529756,0.0310935639520929,0.617213399848368,2.15587324756213
"92234","ED Visits",1.73420726870494,1.00659531746347,2.98776956205956,0.047294973192087,0.27754425291281,1.98364908500922
"92236","ED Visits",4.51903140698494,2.78142512303998,7.34215157839529,1.12152367252461e-09,0.247624065381444,6.0910787409422
"92239","ED Visits",1.20536116762106e-09,0,Inf,0.999764754468717,69653.8006785678,-0.000294836554368586
"92240","ED Visits",10.4455007576128,6.62886359588841,16.459606461802,4.87652714883708e-24,0.232013421472274,10.1122224796267
"92241","ED Visits",4.30960111317252,2.19151597207582,8.47480100136601,2.29640337719842e-05,0.345032779671177,4.23393206893857
"92253","ED Visits",1.59500610149757,0.882774712841722,2.88187283437808,0.121897678445997,0.301823306735269,1.5468572214316
"92254","ED Visits",1.23142883649424,0.464344244143248,3.26571718821987,0.675693286703778,0.497613351528119,0.41834719713916
"92260","ED Visits",2.07190474641939,1.15351879759688,3.72147318897476,0.0147719855055812,0.298807152333598,2.43792140129866
"92262","ED Visits",12.01873410506,7.55543312917348,19.1186881041108,8.7794406778512e-26,0.2368409252858,10.498466871136
"92264","ED Visits",1.17987301587301,0.540391434396546,2.57609622391561,0.678019053886898,0.398409536444797,0.415167820770246
"92270","ED Visits",1.8334717368962,0.902084032758745,3.72650272914896,0.0938944989783519,0.361873432227872,1.67520254206342
"92276","ED Visits",1.3859119215423,0.47573720666999,4.0374219786544,0.549689987714683,0.54554472558998,0.598224737164654
"92282","ED Visits",1.77691719257984,0.239020215703306,13.2099065344546,0.574345954107539,1.02353263143832,0.56166255072662
"92320","ED Visits",3.23139379347244,1.61806655845087,6.45332282158361,0.000888656981405908,0.35290526284277,3.32359327746341
"92501","ED Visits",7.45469838825515,4.54480714267268,12.2276977471861,1.7721796851498e-15,0.2524838210205,7.95632956453863
"92503","ED Visits",2.31650461231613,1.42982153916612,3.75305132276262,0.000644083194710716,0.246182981958665,3.41233748271316
"92504","ED Visits",2.23222012287441,1.3366992484923,3.72769467970126,0.00214661944102555,0.261634059236141,3.06915950989028
"92505","ED Visits",1.35079595413538,0.763706601393492,2.38920248480133,0.301386429784123,0.290957186981323,1.03346481137875
"92506","ED Visits",2.75590388713541,1.64472060172934,4.61780938789376,0.00011846300491146,0.263359408515872,3.84928521905624
"92507","ED Visits",2.7438907345884,1.67611381625713,4.49190042486057,5.97775410278643e-05,0.251483692550923,4.01368724578437
"92508","ED Visits",1.44368180423324,0.782567255669727,2.66330738575364,0.239893436775522,0.312440470520461,1.17525318790345
"92518","ED Visits",30.0695792880257,15.2909658116358,59.1316212263596,5.94353579104521e-23,0.345032779671177,9.86432074384229
"92532","ED Visits",1.55770238269871,0.812868221613651,2.98503084331241,0.181676245883454,0.331841901542056,1.33561163287654
"92536","ED Visits",1.93140362729304,0.452869367754519,8.23707726141182,0.373730387926207,0.740012869900953,0.889507511810081
"92539","ED Visits",4.57709359605914,1.84739619369996,11.340169400873,0.00101666387752714,0.462910049886277,3.28587424501058
"92543","ED Visits",17.5747171730922,11.2692394022474,27.4082990598802,1.22972240598352e-36,0.226730955996146,12.6425671889574
"92544","ED Visits",8.78160217543896,5.58150091576309,13.8164515121523,5.66113783323576e-21,0.231229325206431,9.3961216605127
"92545","ED Visits",4.87199318345678,3.02019344027922,7.85920440164087,8.55909040097937e-11,0.243975018237133,6.490431449589
"92548","ED Visits",2.88780108780109,1.22764405713293,6.79300736581676,0.0151029853789673,0.436435780471984,2.42990009228058
"92549","ED Visits",2.08321811591494,0.621386401887855,6.98405646678351,0.234409615911419,0.617213399848366,1.18907637029646
"92551","ED Visits",1.46709825129278,0.79526045763375,2.70650609908431,0.219916419487241,0.312440470520461,1.226750396887
"92553","ED Visits",0.979345061611522,0.553697459860674,1.73220362965764,0.942814384525956,0.290957186981323,-0.0717330113996495
"92555","ED Visits",1.10248019559291,0.59273440332891,2.05060238590559,0.757980829710012,0.316623793430651,0.308133396860022
"92561","ED Visits",1.06449135326645e-10,0,Inf,0.999736954696241,69653.8007157242,-0.000329678403927358
"92562","ED Visits",2.69075408282362,1.6466963112496,4.39677764793056,7.79086987095944e-05,0.250540541171609,3.95074377139778
"92563","ED Visits",1.90937580272284,1.15633394713186,3.15282273348992,0.0114837298445499,0.255883157859579,2.52762389365216
"92567","ED Visits",0.2481737202687,0.033382836520589,1.8449659121693,0.1733290104664,1.02353263143831,-1.36158462396006
"92570","ED Visits",1.85204010444697,1.09211723932388,3.14073656652782,0.0221982437638328,0.269479215560398,2.28695852990707
