term,estimate,std.error,statistic,p.value,IRR,IRR_low,IRR_high
(Intercept),-8.454013746316301,0.35355340845351557,-23.911560585132406,2.322077160215285e-126,2.1304359404543077e-4,1.0654123902374776e-4,4.26009434278097e-4
ZIP92201,-0.5694547317671078,0.5000000252581948,-1.1389094060006244,0.25474094205097325,0.5658338858417242,0.21236372694932285,1.5076397036634617
ZIP92203,-0.5754340473896188,0.612372456319024,-0.9396798328398989,0.34738181276158886,0.562460681225849,0.169367551995234,1.8679021701509189
ZIP92210,-25.820347469558534,241803.26854207183,-1.0678245842266603e-4,0.9999147999252219,6.11456509973266e-12,0,Inf
ZIP92211,-1.0702245402425534,0.7905694310167782,-1.353738834634804,0.17581971376726244,0.3429315068493171,0.07282174851653302,1.6149298909410774
ZIP92220,0.3394496881890202,0.47434167564973195,0.7156227369734216,0.4742243302424305,1.4041746440110143,0.5541831805450441,3.557860469428661
ZIP92223,-0.6477386852429804,0.5175491939085003,-1.2515499837827915,0.21073388947199362,0.5232276223386498,0.1897334464392714,1.4429039787973401
ZIP92230,-24.98981646902828,241803.26854205062,-1.033477199034737e-4,0.9999175404500417,1.4030094741906036e-11,0,Inf
ZIP92234,-0.20866411184191447,0.48591268389424247,-0.4294271764417033,0.6676123799278728,0.8116678194708682,0.31315626235367144,2.1037569046617217
ZIP92236,-0.8259459675399379,0.6123724563190241,-1.3487640716316764,0.1774127583004729,0.43782063240369573,0.13183607529971342,1.4539791610346027
ZIP92239,-22.455739535328465,241803.268542041,-9.286780807689624e-5,0.9999259022098463,1.7684640378272344e-10,0,Inf
ZIP92240,1.498250049430176,0.38812504544182824,3.8602251182337888,1.1328261196095879e-4,4.473853194193283,2.0907544053919667,9.573272858626854
ZIP92241,0.08485663372746875,0.7905694310167803,0.10733609269249321,0.914522352099262,1.0885609925788546,0.23115669824212431,5.1262413919888825
ZIP92253,-0.4892573097772664,0.5700877347024718,-0.8582140607403338,0.3907742732947455,0.6130815548183198,0.20056251811439477,1.874073961536843
ZIP92254,-26.623100798693464,241803.26854206462,-1.1010231978755098e-4,0.9999121510591105,2.739896969265341e-12,0,Inf
ZIP92260,-0.7810517580466824,0.6770032190407441,-1.1536898733707148,0.2486273370827973,0.45792413254853664,0.1214833494244681,1.7261173005499544
ZIP92262,0.48292799281069465,0.48591268389424286,0.9938575567535549,0.32029222015158954,1.6208131906077419,0.6253393180909104,4.2009758907661325
ZIP92264,0.32986314300967046,0.540061748251866,0.6107878294980331,0.5413400516112541,1.3907777777777826,0.48255620228637736,4.0083679745403025
ZIP92270,-0.6156267435567447,0.7905694310167798,-0.7787130635255717,0.4361487590394355,0.5403021582733843,0.11473354622388973,2.5443859432812728
ZIP92276,-26.281774048172373,241803.2685420585,-1.086907311329458e-4,0.9999132773438973,3.854522243763089e-12,0,Inf
ZIP92282,-24.646958088604535,241803.26854205554,-1.0192979705035635e-4,0.9999186717887886,1.9767971507170672e-11,0,Inf
ZIP92320,-0.822114366197885,1.0606601836866487,-0.7750968489647412,0.4382824334163937,0.4395014044943836,0.054967766662964816,3.514086459741153
ZIP92501,1.3960705159723998,0.42146364517661983,3.3124340188045363,9.24879395536664e-4,4.0392963902350845,1.7682701837911372,9.22704882869493
ZIP92503,-0.29476724319680686,0.44320265870904557,-0.6650845553485638,0.5059964125379273,0.7447049024274199,0.3124082495776437,1.7751944529288128
ZIP92504,-0.10038764499575414,0.46466021582150374,-0.21604527690900358,0.8289524549784975,0.9044867303144485,0.36381067582842713,2.2486867474464534
ZIP92505,-1.0389270584235268,0.6123724563190239,-1.696560724936138,0.089779740419748,0.3538341217043912,0.10654614803446694,1.1750644015944811
ZIP92506,-1.1463621972234816,0.6770032190407437,-1.6932891380454291,0.0904004446289126,0.3177907291643161,0.08430715800031172,1.1978929184448885
ZIP92507,-0.7878252927192505,0.5400617482518659,-1.4587689190530049,0.14462871985914363,0.45483284883721203,0.15781271150353954,1.3108761544644916
ZIP92508,-0.26685471321874715,0.5400617482518663,-0.49411889303868134,0.6212222157038207,0.7657843217228193,0.26570310510099104,2.2070710358224233
