term.x,estimate.x,std.error.x,statistic.x,p.value.x,IRR_ed,IRR_low.x,IRR_high.x,ZIP,term.y,estimate.y,std.error.y,statistic.y,p.value.y,IRR_hosp,IRR_low.y,IRR_high.y,term,estimate,std.error,statistic,p.value,IRR_death,IRR_low,IRR_high,Severity_Score,Normalized_Severity
ZIP92240,2.346171336187028,0.23201342147227413,10.112222479626672,4.876527148837077e-24,10.44550075761278,6.628863595888406,16.459606461802043,92240,ZIP92240,2.5371771078537018,0.5250152622934172,4.8325778126345975,1.3477640633184476e-6,12.643928100102608,4.518436841141581,35.381465630971086,ZIP92240,1.8862241259425327,0.37374127344564034,5.046871351811988,4.4910353016679483e-7,6.594421906142905,3.1699147362737885,13.718476329535402,55.51662267624671,1
ZIP92543,2.866461344997808,0.2267309559961459,12.642567188957354,1.2297224059835232e-36,17.574717173092196,11.269239402247392,27.40829905988017,92543,ZIP92543,2.1951975983773147,0.5357583756107196,4.09736496582993,4.178797858292374e-5,8.981775665780633,3.1428514023131897,25.668504101413454,ZIP92543,1.8829818597182093,0.3748638094177482,5.023109226369234,5.084161064305682e-7,6.573075658536321,3.1527096649143194,13.704187256334901,55.25749548026242,0.9951286013195136
ZIP92501,2.0088444897530846,0.25248382102049993,7.956329564538634,1.772179685149797e-15,7.454698388255149,4.544807142672683,12.227697747186069,92501,ZIP92501,2.4349975743959282,0.5501196042201804,4.426305762812523,9.586062017597723e-6,11.41579102314417,3.8836792434182135,33.5558825834952,ZIP92501,1.5127685554200858,0.43362909011696726,3.488623318633976,4.855148085939088e-4,4.539280663878699,1.9403554077007792,10.619224119296263,43.90412242617958,0.7816936266359552
ZIP92262,2.4864666078421735,0.23684092528579995,10.498466871136026,8.779440677851197e-26,12.018734105060044,7.55543312917348,19.118688104110777,92262,ZIP92262,1.5218550512342186,0.600925212577331,2.532519886637934,0.011324594581922951,4.580714779005505,1.4106678957707508,14.874477507787143,ZIP92262,1.4899412777292724,0.42163702109287216,3.533706015347949,4.0977659554812784e-4,4.436834970329433,1.9416689792995123,10.138445205546848,34.490668574059356,0.6047276910464784
ZIP92544,2.172658871117886,0.23122932520643147,9.3961216605127,5.661137833235764e-21,8.781602175438957,5.581500915763092,13.81645151215227,92544,ZIP92544,1.8979403431581992,0.5370861555295745,3.5337726054152396,4.096733755516876e-4,6.672137965721329,2.3286083669178836,19.11760932669956,ZIP92544,1.355200945887263,0.38674623380981127,3.504108967105559,4.581378518565599e-4,3.8775400540789082,1.8170099336560805,8.274757662294713,33.75849826911834,0.5909634335210073
ZIP92220,2.596841878020086,0.23137892596855306,11.223329294790767,3.132509425904611e-29,13.421284979230439,8.527937310191813,21.122445433368814,92220,ZIP92220,1.3783767466125456,0.5916079783099613,2.329881944036888,0.019812391584952554,3.9684545889673197,1.2446401053987848,12.653161147856384,ZIP92220,1.3662656004037792,0.4122312946740871,3.314318000732958,9.186696327601119e-4,3.9206819299855016,1.7477113107176965,8.795358078790736,33.12023994712158,0.5789646514720057
ZIP92518,3.403514005815954,0.34503277967117657,9.864320743842292,5.943535791045212e-23,30.069579288025707,15.290965811635841,59.131621226359584,92518,ZIP92518,-22.929279926271846,189338.6607683843,-1.2110194417357245e-4,0.9999033746286968,1.101387780940535e-10,0,Inf,NA,NA,NA,NA,NA,1,NA,NA,33.06957928824598,0.5780122687401903
ZIP92586,1.0560504320591393,0.30860669992418327,3.4219945073084403,6.216356939516447e-4,2.874993553710475,1.5701833795805717,5.264090832552753,92586,ZIP92586,2.0182717576555795,0.5838742081211422,3.456689351204958,5.468548614115961e-4,7.5253081326388305,2.396236396188488,23.63300323008097,ZIP92586,1.5625437373742737,0.44095855155533126,3.54351612382373,3.94829166613781e-4,4.770941845873515,2.0102937539790133,11.322666675780061,32.23843535660868,0.5623873805979297
ZIP92241,1.4608453506848118,0.34503277967117674,4.233932068938572,2.2964033771984242e-5,4.3096011131725165,2.1915159720758224,8.474801001366014,92241,ZIP92241,1.123783692150996,0.8660254037844385,1.2976336343485784,0.19441325868613316,3.076472634508346,0.563496076103414,16.796361629218776,ZIP92241,1.8338072633754265,0.5039526297645726,3.638848485088988,2.738598572668239e-4,6.257665945165947,2.330489331675826,16.80264421254883,29.235544217687046,0.5059352591746196
ZIP92536,0.6582470066130341,0.7400128699009533,0.889507511810081,0.3737303879262069,1.9314036272930362,0.45286936775451925,8.237077261411818,92536,ZIP92536,1.5739483165745822,1.118033988749895,1.4077821715728498,0.1591955811196447,4.825663877773726,0.539367547117457,43.174699675023234,ZIP92536,1.724356099863825,0.7817357406189205,2.205804353397745,0.027397701360368374,5.608908289884502,1.2118913068672934,25.959301816973976,28.409456252493992,0.4904054194435129
