"term.x","estimate.x","std.error.x","statistic.x","p.value.x","IRR_ed","IRR_low.x","IRR_high.x","ZIP","term.y","estimate.y","std.error.y","statistic.y","p.value.y","IRR_hosp","IRR_low.y","IRR_high.y","term","estimate","std.error","statistic","p.value","IRR_death","IRR_low","IRR_high","Severity_Score","Normalized_Severity"
"ZIP92240",2.34617133618703,0.232013421472274,10.1122224796267,0.00000000000000000000000487652714883708,10.4455007576128,6.62886359588841,16.459606461802,"92240","ZIP92240",2.5371771078537,0.525015262293417,4.8325778126346,0.00000134776406331845,12.6439281001026,4.51843684114158,35.3814656309711,"ZIP92240",1.88622412594253,0.37374127344564,5.04687135181199,0.000000449103530166795,6.5944219061429,3.16991473627379,13.7184763295354,55.5166226762467,1
"ZIP92543",2.86646134499781,0.226730955996146,12.6425671889574,0.00000000000000000000000000000000000122972240598352,17.5747171730922,11.2692394022474,27.4082990598802,"92543","ZIP92543",2.19519759837731,0.53575837561072,4.09736496582993,0.0000417879785829237,8.98177566578063,3.14285140231319,25.6685041014135,"ZIP92543",1.88298185971821,0.374863809417748,5.02310922636923,0.000000508416106430568,6.57307565853632,3.15270966491432,13.7041872563349,55.2574954802624,0.995128601319514
"ZIP92501",2.00884448975308,0.2524838210205,7.95632956453863,0.0000000000000017721796851498,7.45469838825515,4.54480714267268,12.2276977471861,"92501","ZIP92501",2.43499757439593,0.55011960422018,4.42630576281252,0.00000958606201759772,11.4157910231442,3.88367924341821,33.5558825834952,"ZIP92501",1.51276855542009,0.433629090116967,3.48862331863398,0.000485514808593909,4.5392806638787,1.94035540770078,10.6192241192963,43.9041224261796,0.781693626635955
"ZIP92262",2.48646660784217,0.2368409252858,10.498466871136,0.000000000000000000000000087794406778512,12.01873410506,7.55543312917348,19.1186881041108,"92262","ZIP92262",1.52185505123422,0.600925212577331,2.53251988663793,0.011324594581923,4.5807147790055,1.41066789577075,14.8744775077871,"ZIP92262",1.48994127772927,0.421637021092872,3.53370601534795,0.000409776595548128,4.43683497032943,1.94166897929951,10.1384452055468,34.4906685740594,0.604727691046478
"ZIP92544",2.17265887111789,0.231229325206431,9.3961216605127,0.00000000000000000000566113783323576,8.78160217543896,5.58150091576309,13.8164515121523,"92544","ZIP92544",1.8979403431582,0.537086155529575,3.53377260541524,0.000409673375551688,6.67213796572133,2.32860836691788,19.1176093266996,"ZIP92544",1.35520094588726,0.386746233809811,3.50410896710556,0.00045813785185656,3.87754005407891,1.81700993365608,8.27475766229471,33.7584982691183,0.590963433521007
"ZIP92220",2.59684187802009,0.231378925968553,11.2233292947908,0.0000000000000000000000000000313250942590461,13.4212849792304,8.52793731019181,21.1224454333688,"92220","ZIP92220",1.37837674661255,0.591607978309961,2.32988194403689,0.0198123915849526,3.96845458896732,1.24464010539878,12.6531611478564,"ZIP92220",1.36626560040378,0.412231294674087,3.31431800073296,0.000918669632760112,3.9206819299855,1.7477113107177,8.79535807879074,33.1202399471216,0.578964651472006
"ZIP92586",1.05605043205914,0.308606699924183,3.42199450730844,0.000621635693951645,2.87499355371048,1.57018337958057,5.26409083255275,"92586","ZIP92586",2.01827175765558,0.583874208121142,3.45668935120496,0.000546854861411596,7.52530813263883,2.39623639618849,23.633003230081,"ZIP92586",1.56254373737427,0.440958551555331,3.54351612382373,0.000394829166613781,4.77094184587351,2.01029375397901,11.3226666757801,32.2384353566087,0.56238738059793
"ZIP92241",1.46084535068481,0.345032779671177,4.23393206893857,0.0000229640337719842,4.30960111317252,2.19151597207582,8.47480100136601,"92241","ZIP92241",1.123783692151,0.866025403784438,1.29763363434858,0.194413258686133,3.07647263450835,0.563496076103414,16.7963616292188,"ZIP92241",1.83380726337543,0.503952629764573,3.63884848508899,0.000273859857266824,6.25766594516595,2.33048933167583,16.8026442125488,29.235544217687,0.50593525917462
"ZIP92536",0.658247006613034,0.740012869900953,0.889507511810081,0.373730387926207,1.93140362729304,0.452869367754519,8.23707726141182,"92536","ZIP92536",1.57394831657458,1.11803398874989,1.40778217157285,0.159195581119645,4.82566387777373,0.539367547117457,43.1746996750232,"ZIP92536",1.72435609986382,0.78173574061892,2.20580435339774,0.0273977013603684,5.6089082898845,1.21189130686729,25.959301816974,28.409456252494,0.490405419443513
"ZIP92539",1.52106421067788,0.462910049886277,3.28587424501058,0.00101666387752714,4.57709359605914,1.84739619369996,11.340169400873,"92539","ZIP92539",-23.9644318610227,189338.660768382,-0.000126569142106368,0.999899012435909,0.0000000000391182556678894,0,Inf,"ZIP92539",1.89402612336849,0.66666663117292,2.84103933631143,0.00449667654516733,6.64607279693494,1.7992745152526,24.5489408357221,24.5153119869422,0.417198401690029
"ZIP92545",1.58350313128034,0.243975018237133,6.490431449589,0.0000000000855909040097937,4.87199318345678,3.02019344027922,7.85920440164087,"92545","ZIP92545",1.32648418042005,0.571771874896865,2.31995353157117,0.0203433912383212,3.76777326254614,1.22854666579069,11.5552105208971,"ZIP92545",1.263317863411,0.398409536183062,3.1709026734504,0.0015196604933541,3.53713778010823,1.62003786332645,7.72287114930709,23.0189530488737,0.38906796586776
"ZIP92276",0.326358350077629,0.54554472558998,0.598224737164654,0.549689987714683,1.3859119215423,0.47573720666999,4.0374219786544,"92276","ZIP92276",-24.7536726136062,189338.660762156,-0.00013073754992226,0.999895686527697,0.0000000000177671012414258,0,Inf,"ZIP92276",1.95208323126361,0.503952629764573,3.87354508334553,0.000107263553021758,7.0433452246295,2.62309318668394,18.9122949215638,22.5159475954663,0.379611837217508
