ZIP,death_coef,housing,healthcare_access,insured,above_poverty,economic_domain,education_domain,neighborhood_domain,homeownership,ownsevere,social_domain,transportation
91752,0,-0.21425045202804968,-0.11257621604139369,-0.15837659613450075,0.4850985938048965,0.366417619934388,-0.07329593384233463,-0.03721050047481695,-0.40130275515000596,0.2970624680996683,0.04684881199425687,0.11909578727181014
92201,1.2223047374609706,-0.8756042896681054,-0.4573429002881239,-0.3922253566637676,-0.9728911458041112,-0.5703111518038121,-0.024093962279474385,-0.41129214051245694,-0.25987034300814443,1.777415599817525,-1.3109831208493057,-0.6325590767068402
92203,1.034003865044506,0.822990251990497,0.9863513035426709,0.9262443826244365,0.7019390950700806,0.9603414009457444,0.5715061962911897,-0.4756853090840576,0.7237813815825781,0.5431699115080404,0.17092645256529132,0.46058047955487913
92211,1.4947248172190062,0.7748933110578846,0.6278300791979665,0.919737853761222,0.8377969094489961,0.8124899333833998,1.5132509825021336,-0.7067499216646043,0.5885303780026766,-0.17123943265119473,0.4392090801424492,2.1225365814516346
92220,1.5632251198111624,-0.9964996378802882,-0.039321040397174475,-0.4565668998018939,-0.9403883097088639,-1.468024377103272,-0.5008935124118985,0.3775782913467701,-0.16676937237256512,1.3549846757989854,-0.06321518354051144,-2.8942678720581436
92223,0.2967229235978953,0.8912991065064921,0.8050752348132793,0.8005415451912739,0.612908248226226,0.37364390184509155,0.3995572782663787,0.6338281080047866,0.8615124178981529,-0.13966493704352964,0.8597593521589469,0.5040448246524019
92234,1.3317809291052563,-1.5094930837445313,-1.1052680341326233,-1.173629234902792,-0.9837152789165767,-0.5531471023194342,-0.3317082075859675,-0.5106609848416073,-0.6725323172661243,2.6381558275780193,-0.005609404365082116,-0.631801861643658
92236,1.1889570530023517,-1.5449339900307046,-1.5633049486595696,-1.433329178788156,-1.4879530148185796,-0.8226363665949682,-0.9509346253787445,-0.08409648977903046,0.3153511832598582,3.76026848438889,-1.4274314707604132,0.5332499775202473
92240,2.083183645349913,-1.308025918930672,-1.7916016761500728,-1.692794556959387,-1.6491381889128427,-1.644851998303984,-0.3187288573233186,-0.9374752788037379,-1.7450341709154455,-0.20170460498168025,-1.2226400263585337,-1.5313965927190627
92241,2.0307667827828086,-0.5722830206929064,-3.111286562925759,-3.1328279264531353,-1.6267856194997456,-1.6818373597253944,-0.00854470576339833,-1.7874196335535848,0.9724762611757697,-0.39517019360871963,-1.6940923707875557,1.1415461503570734
92253,0.9923472311469752,0.9770036230745949,0.3222311859017826,0.5855292134409296,0.5066058419876792,0.8439008485572607,0.9820726320497799,0.7411168423632157,0.5715067232162054,0.17090816721113258,-0.14160272522028372,0.4364556388193229
92254,0.9604181397627628,-2.1680686092831842,-2.374626048130188,-2.420778497561124,-3.2761033966035797,-2.40476543726436,-0.7513021131776125,-1.4619913903464734,-0.20718126255809075,0.2879254970797351,-3.525687017446391,-0.7225461138397975
92260,1.2983897836331795,-0.3384603762562166,0.3877119798466148,0.0593304386506415,0.03909866020814369,0.4577851915725627,0.854162358505391,0.33263588820574624,-0.7313700634809925,0.9264350258659036,0.03120513956745768,-0.0794924474427169
