term,estimate,std.error,statistic,p.value,p_adj_BH
(Intercept),0.8455794703819828,0.08704035263881672,9.714798306146639,3.426823162336371e-13,1.7134115811681854e-12
housing,0.31956067821826034,0.14087373532742603,2.2684191448144744,0.02756721503509486,0.045945358391824766
economic_domain,-0.43823073486584735,0.12328764774378577,-3.5545388600208416,8.268577347467097e-4,0.0020671443368667744
ownsevere,0.2203511882328712,0.10568445590451624,2.0849914620552528,0.04209467203671933,0.05261834004589916
transportation,-0.1485091065951865,0.10723384145374956,-1.3849089483494739,0.17210900425030748,0.17210900425030748
