term,estimate,std.error,statistic,p.value,p_adj_BH
(Intercept),0.31226635913219447,0.3653183857335541,0.8547786569930449,0.39631587898551457,0.39631587898551457
above_poverty,-3.6662116746494533,0.7283107552175245,-5.033856287834808,5.305186048158498e-6,1.5915558144475495e-5
social_domain,3.036185536754799,0.7283107552175246,4.168805025882092,1.07256302085952e-4,1.6088445312892802e-4
